"tendid","docid","yyyy","array_agg"
"2006/S 164-176883","83585-2008",2008,"{""Services. Service category No 25. Main place of performance: Berkshire. NUTS code UKJ11."",""Services. Service category No 25. Main place of performance: Berkshire. NUTS code UKJ11.""}"
"2006/S 164-176883","83585-2008",2008,"{""UK-Theale: miscellaneous health services"",""UK-Theale: miscellaneous health services""}"
"2006/S 164-176883","83585-2008",2008,"{""UK-Wokingham: health service provision for the shinfield health centre."",""UK-Wokingham: health service provision for the shinfield health centre.""}"
"2009/S 96-138431","79636-2010",2010,"{""Contract is for 3 years with possible 1 year extension. Value is estimated. Contract open to all NHS bodies within the UK."",""Contract is for 3 years with possible 1 year extension. Value is estimated. Contract open to all NHS bodies within the UK.""}"
"2009/S 96-138431","79636-2010",2010,"{""E-rostering and/or staff banks systems"",""E-rostering and/or staff banks systems""}"
"2009/S 96-138431","79636-2010",2010,"{""Services Service category: No 27 Main place of performance United Kingdom."",""Services Service category: No 27 Main place of performance United Kingdom.""}"
"2009/S 96-138431","79636-2010",2010,"{""The conclusion of a framework agreement"",""The conclusion of a framework agreement""}"
"2009/S 96-138431","79636-2010",2010,"{""UK-London: time accounting or human resources software package"",""UK-London: time accounting or human resources software package""}"
"2009/S 96-138431","79636-2010",2010,"{""Workforce optimisation solutions framework."",""Workforce optimisation solutions framework.""}"
"2010/S 42-61080","61080-2010",2010,"{""22053 National procurement consultancy and support framework""}"
"2010/S 42-61080","61080-2010",2010,"{""Lots 1 and 3 were not awarded.""}"
"2010/S 42-61080","61080-2010",2010,"{""Services Service category: No 11 Main place of performance Throughout England and Wales, and occasionally in other parts of the UK. NUTS code UK""}"
"2010/S 42-61080","61080-2010",2010,"{""The Environment Agency has an ongoing requirement for the support to our procurement function. The framework will cover: b) In house training""}"
"2010/S 42-61080","61080-2010",2010,"{""UK-Bristol: management training services""}"
"2009/S 42-60742","60742-2009",2009,"{""Manufacture and supply of underground cable.""}"
"2009/S 42-60742","60742-2009",2009,"{""Supplies. Purchase. Main place of delivery Exeter. NUTS code UKK11.""}"
"2009/S 42-60742","60742-2009",2009,"{""The conclusion of a framework agreement.""}"
"2009/S 42-60742","60742-2009",2009,"{""UK-Bristol: power distribution cables""}"
"2009/S 42-60742","60742-2009",2009,"{""Underground cable.""}"
"2009/S 81-117107","59991-2011",2011,"{""National AAA system."",""National AAA system."",""National AAA system.""}"
"2009/S 81-117107","59991-2011",2011,"{""(SC Ref:198803)."",""(SC Ref:198803)."",""(SC Ref:198803).""}"
"2009/S 81-117107","59991-2011",2011,"{""Services Service category: No 7 Main place of performance Scotland. NUTS code UKM"",""Services Service category: No 7 Main place of performance Scotland. NUTS code UKM"",""Services Service category: No 7 Main place of performance Scotland. NUTS code UKM""}"
"2009/S 81-117107","59991-2011",2011,"{""The Common Services Agency (more commonly known as National Services Scotland (“NSS”)), on behalf of the NHS Scotland, wishes to purchase a computerised screening system to support the introduction and ongoing support of an abdominal aortic aneurysm screening (AAA) programme. This programme is scheduled to go live in every NHS Board throughout Scotland between 2011 and 2013. Suppliers will be expected to supply, implement and support the system throughout Scotland and provide training to clinical and administrative users of the system. The duration of the contract shall be 10 years with an option on the part of National Services Scotland for up to a further 3 years if it wishes. The computerised screening system (which may be a bespoke new development or an existing application) must be capable of identifying, calling and scheduling appointments for participants for AAA screening based on nationally agreed parameters. The system must demonstrate the full functionality required by a modern screening system. It must also have the capability of capturing and storing images and associated data from ultrasound scanning devices. Capability for interfacing to other systems, including NHS Scotland national products will also be expected. The national AAA screening system must have sufficient flexibility to accommodate the requirements of individual NHS boards as well as differing sizes of consortia of NHS boards who will deliver the AAA screening service jointly across NHS Board boundaries."",""The Common Services Agency (more commonly known as National Services Scotland (“NSS”)), on behalf of the NHS Scotland, wishes to purchase a computerised screening system to support the introduction and ongoing support of an abdominal aortic aneurysm screening (AAA) programme. This programme is scheduled to go live in every NHS Board throughout Scotland between 2011 and 2013. Suppliers will be expected to supply, implement and support the system throughout Scotland and provide training to clinical and administrative users of the system. The duration of the contract shall be 10 years with an option on the part of National Services Scotland for up to a further 3 years if it wishes. The computerised screening system (which may be a bespoke new development or an existing application) must be capable of identifying, calling and scheduling appointments for participants for AAA screening based on nationally agreed parameters. The system must demonstrate the full functionality required by a modern screening system. It must also have the capability of capturing and storing images and associated data from ultrasound scanning devices. Capability for interfacing to other systems, including NHS Scotland national products will also be expected. The national AAA screening system must have sufficient flexibility to accommodate the requirements of individual NHS boards as well as differing sizes of consortia of NHS boards who will deliver the AAA screening service jointly across NHS Board boundaries."",""The Common Services Agency (more commonly known as National Services Scotland (“NSS”)), on behalf of the NHS Scotland, wishes to purchase a computerised screening system to support the introduction and ongoing support of an abdominal aortic aneurysm screening (AAA) programme. This programme is scheduled to go live in every NHS Board throughout Scotland between 2011 and 2013. Suppliers will be expected to supply, implement and support the system throughout Scotland and provide training to clinical and administrative users of the system. The duration of the contract shall be 10 years with an option on the part of National Services Scotland for up to a further 3 years if it wishes. The computerised screening system (which may be a bespoke new development or an existing application) must be capable of identifying, calling and scheduling appointments for participants for AAA screening based on nationally agreed parameters. The system must demonstrate the full functionality required by a modern screening system. It must also have the capability of capturing and storing images and associated data from ultrasound scanning devices. Capability for interfacing to other systems, including NHS Scotland national products will also be expected. The national AAA screening system must have sufficient flexibility to accommodate the requirements of individual NHS boards as well as differing sizes of consortia of NHS boards who will deliver the AAA screening service jointly across NHS Board boundaries.""}"
"2009/S 81-117107","59991-2011",2011,"{""UK-Edinburgh: IT services: consulting, software development, Internet and support"",""UK-Edinburgh: IT services: consulting, software development, Internet and support"",""UK-Edinburgh: IT services: consulting, software development, Internet and support""}"
"2012/S 35-55891","55891-2012",2012,"{""Provision of an Employers’ Checking Service (ECS) to employers of migrants who hold Biometric Residence Permits.""}"
"2012/S 35-55891","55891-2012",2012,"{""Services Service category No 27: Other services Main site or location of works, place of delivery or of performance: United Kingdom. NUTS code UK""}"
"2012/S 35-55891","55891-2012",2012,"{""The Contracting Authority seeks expressions of interest from service providers for securing concessions to provide Employers’ Checking Service (ECS) to potential employers of migrants who hold Biometric Residence Permits (BRP) issued by UK Border Agency (UKBA). This is a voluntary notice as it relates to a service concession under Regulation 6 (2)(m) of the Public Contracts Regulations 2006 and as such, in carrying out this competitive process the Contracting Authority is not obliged to follow the detailed rules and procedures set out in Directive 2004/18/EC and the Public Contracts Regulations 2006, SI 2006 05. This notice is to alert interested economic operators of the start of a competitive process, and does not mark the start of a regulated procedure. The competitive process will involve proposals from suppliers on the scope of services and the nature of commercial terms. This process will be similar to the restricted procedure as detailed in the Public Procurement Regulations 2006 and will be set out in the tender documentation. The Contracting Authority intends to award service concession agreements for 4 years, with options for two further 1 year extensions. These concessions are available for use by other government departments and agencies, including other agencies of the Home Office. The services which are the subject of the concessions may comprise in outline: — provide a web-based, high availability interface comprising: —— user management, —— data gathering, —— data staging, —— secure transfer of data to and from the authority in near real time, —— display of return data, —— check history management, — maintain data in flight and in storage in a secure fashion in line with the HMG Security Policy Framework, — take and manage payments from customers, — produce and provide regular Management Information, — implement a support framework to internally resolve issues with its ICT equipment and maintain customer service, — promote the service in line with the concession agreement, — the architecture must be capable of supporting future entitlement verification services. The Authority may require optional future services enabling remote checks, which may include: — biometric chip reading technology for download, — biometric chip reading hardward for sale/rent. The concession will be offered in one lot comprising the services required for Employers’ Checking Service. Economic operators may only tender for the lot in its entirety. Further details are given below. 1. Variant bids may only be considered if they meet UKBA standards and offer superior customer value. 2. Any service providers who are successful in being granted a concession to provide employers' checking services to the public will generate income through charging a fee to those members of the public who wish to use the service. UKBA anticipates a period of technological and service development and testing after the award of concession and before the service is offered to the public. Service providers will be responsible for funding all development and deployment activities. This service is to be cost neutral to the Contracting Authority. 3. Service providers who progress to the invitation to tender stage will be asked to quote prices that they propose to charge for the services. These proposed prices will be assessed for competitiveness as part of the tender evaluation. 4. The services must be available widely within the UK. 5. UKBA is looking for one supplier to provide the Employers’ Checking Service, but may consider a greater number depending on the nature of offers made. UKBA reserves the right to make the concessions available to other parts of the Home Office and other government departments.""}"
"2012/S 35-55891","55891-2012",2012,"{""UK-Croydon: supporting services for the government""}"
"2009/S 123-179878","51977-2010",2010,"{""Occupational Health.""}"
"2009/S 123-179878","51977-2010",2010,"{""Services. Service category No 25. NUTS code UK.""}"
"2009/S 123-179878","51977-2010",2010,"{""The contract is for an initial 2 year period with options to extend for up to a further 24 months.""}"
"2009/S 123-179878","51977-2010",2010,"{""UK-Ossett: company health services""}"
"2010/S 34-48883","48883-2010",2010,"{""GRIP 1-4 CIS Design at Birmingham New Street Station.""}"
"2010/S 34-48883","48883-2010",2010,"{""Services. Service category: No 12. Main site or location of works, place of delivery or of performance: Birmingham, West Midlands. NUTS code UKG31.""}"
"2010/S 34-48883","48883-2010",2010,"{""This Contract relates to the provision of a clear outline design (GRIP 4), timescales and cost, which will form the requisite Approval in Principle for the main CIS implementation works package at Birmingham New Street Railway Station.""}"
"2010/S 34-48883","48883-2010",2010,"{""UK-Birmingham: passenger information system""}"
"2009/S 124-180731","42604-2010",2010,"{""Services. Main site or location of works, place of delivery or of performance: Thames Valley Police headquarters, Kidlington, Oxfordshire, UK. NUTS code UKE.""}"
"2009/S 124-180731","42604-2010",2010,"{""Support and maintenance for the PeopleSoft human resources management system (HRMS), used by Thames Valley Police (currently version 8.8).""}"
"2009/S 124-180731","42604-2010",2010,"{""Support service for PeopleSoft software system.""}"
"2009/S 124-180731","42604-2010",2010,"{""UK-Kidlington: systems support services""}"
"2015/S 25-41562","41562-2015",2015,"{""Supplies NUTS code""}"
"2015/S 25-41562","41562-2015",2015,"{""Supply, Installation and Maintenance of Ticket Vending Machines for Virgin Trains. Virgin Trains (VT) has a Franchise Committed Obligation (FCO) to replenish its fleet of Ticket Vending Machines (TVMs). This Major Project will see us order and install in the region of 130 TVMs. The TVMs are required to provide sufficient retail / Ticket on Departure (TOD) collection capacity until at least 2017, and will include both cash/card and card-only models. As a result of this project, the majority of our managed stations will offer at least one cash/card TVM, thereby supporting / enabling customers making cash purchases to migrate from our Ticket Offices. The TVMs will be fully RSP-accredited / compliant, support our Nectar offer from installation and will be fully maintained and supported by the manufacturer. We are keen to enhance the customer experience and make travelling by train as easy as possible. This project will therefore look to make tickets available to customers in more locations and to make more cash/card machines available whilst supporting new technologies like contactless card payments. This will also reduce the amount of time that customers will need to queue to purchase tickets in the busiest periods.""}"
"2015/S 25-41562","41562-2015",2015,"{""United Kingdom-Birmingham: Ticket-issuing machines""}"
"2015/S 25-41562","41562-2015",2015,"{""VT/AJ/Supply, Installation and Maintenance of Ticket Vending Machines.""}"
"2012/S 193-317422","403866-2012",2012,"{""All correspondence and expressions of interest relating to this project must be made through the University of Nottingham e-tendering website: https://in-tendhost.co.uk/universityofnottingham/ Non compliant expressions of interest will not be considered or acknowledged.The UoN reserves the right to cancel the tender process at any stage.The UoN does not accept any liability for costs incurred in tendering. Variation will be accepted where adequately explained by the tenderer and provided that these variations comply with the standards specified in the selection and claims criteria of the the tender document."",""All correspondence and expressions of interest relating to this project must be made through the University of Nottingham e-tendering website: https://in-tendhost.co.uk/universityofnottingham/ Non compliant expressions of interest will not be considered or acknowledged.The UoN reserves the right to cancel the tender process at any stage.The UoN does not accept any liability for costs incurred in tendering. Variation will be accepted where adequately explained by the tenderer and provided that these variations comply with the standards specified in the selection and claims criteria of the the tender document."",""All correspondence and expressions of interest relating to this project must be made through the University of Nottingham e-tendering website: https://in-tendhost.co.uk/universityofnottingham/ Non compliant expressions of interest will not be considered or acknowledged.The UoN reserves the right to cancel the tender process at any stage.The UoN does not accept any liability for costs incurred in tendering. Variation will be accepted where adequately explained by the tenderer and provided that these variations comply with the standards specified in the selection and claims criteria of the the tender document."",""All correspondence and expressions of interest relating to this project must be made through the University of Nottingham e-tendering website: https://in-tendhost.co.uk/universityofnottingham/ Non compliant expressions of interest will not be considered or acknowledged.The UoN reserves the right to cancel the tender process at any stage.The UoN does not accept any liability for costs incurred in tendering. Variation will be accepted where adequately explained by the tenderer and provided that these variations comply with the standards specified in the selection and claims criteria of the the tender document."",""All correspondence and expressions of interest relating to this project must be made through the University of Nottingham e-tendering website: https://in-tendhost.co.uk/universityofnottingham/ Non compliant expressions of interest will not be considered or acknowledged.The UoN reserves the right to cancel the tender process at any stage.The UoN does not accept any liability for costs incurred in tendering. Variation will be accepted where adequately explained by the tenderer and provided that these variations comply with the standards specified in the selection and claims criteria of the the tender document.""}"
"2012/S 193-317422","403866-2012",2012,"{""Single Crystal X-Ray Equipment + upgrade."",""Single Crystal X-Ray Equipment + upgrade."",""Single Crystal X-Ray Equipment + upgrade."",""Single Crystal X-Ray Equipment + upgrade."",""Single Crystal X-Ray Equipment + upgrade.""}"
"2012/S 193-317422","403866-2012",2012,"{""Supplies Purchase NUTS code"",""Supplies Purchase NUTS code"",""Supplies Purchase NUTS code"",""Supplies Purchase NUTS code"",""Supplies Purchase NUTS code""}"
